"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","5","","ParticipationServiceSuccess","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.GetUserParticipationInfoByUserId_ShouldReturnEmpty_WhenNoParticipationsFound","Eventity.Tests.Services.ParticipationServiceTests.GetUserParticipationInfoByUserId_ShouldReturnEmpty_WhenNoParticipationsFound",""
"passed","Sun Oct 26 12:06:19 UTC 2025","Sun Oct 26 12:06:22 UTC 2025","2929","","Integration Tests","Notification Service","Eventity.Tests.Integration.NotificationServiceIntegrationTests","Eventity.Tests.Integration.NotificationServiceIntegrationTests.AddNotification_ForEvent_ShouldCreateNotificationsForAllParticipants","Eventity.Tests.Integration.NotificationServiceIntegrationTests.AddNotification_ForEvent_ShouldCreateNotificationsForAllParticipants",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","5","","ParticipationServiceError","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.UpdateParticipation_ShouldThrow_WhenAccessDenied","Eventity.Tests.Services.ParticipationServiceTests.UpdateParticipation_ShouldThrow_WhenAccessDenied",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","2","","UserServiceError","","Eventity.Tests.Services.UserServiceTests","Eventity.Tests.Services.UserServiceTests.UpdateUser_ShouldThrowUserServiceException_WhenUserNotFound","Eventity.Tests.Services.UserServiceTests.UpdateUser_ShouldThrowUserServiceException_WhenUserNotFound",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","0","","","","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.NotificationConverterTests","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.NotificationConverterTests.ToDomain_WithLongText_ConvertsCorrectly","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.NotificationConverterTests.ToDomain_WithLongText_ConvertsCorrectly",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","3","","UserServiceError","","Eventity.Tests.Services.UserServiceTests","Eventity.Tests.Services.UserServiceTests.GetAllUsers_ShouldThrowUserServiceException_WhenNoUsersFound","Eventity.Tests.Services.UserServiceTests.GetAllUsers_ShouldThrowUserServiceException_WhenNoUsersFound",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","6","","EventServiceError","","Eventity.Tests.Services.EventServiceTests","Eventity.Tests.Services.EventServiceTests.RemoveEvent_Should_Throw_If_Access_Denied","Eventity.Tests.Services.EventServiceTests.RemoveEvent_Should_Throw_If_Access_Denied",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","3","","ParticipationServiceSuccess","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.GetAllParticipations_ShouldReturnParticipations_WhenParticipationsExist","Eventity.Tests.Services.ParticipationServiceTests.GetAllParticipations_ShouldReturnParticipations_WhenParticipationsExist",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","3","","ParticipationServiceSuccess","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.GetParticipationsByEventId_ShouldReturnParticipations_WhenParticipationsExist","Eventity.Tests.Services.ParticipationServiceTests.GetParticipationsByEventId_ShouldReturnParticipations_WhenParticipationsExist",""
"passed","Sun Oct 26 12:06:19 UTC 2025","Sun Oct 26 12:06:22 UTC 2025","3015","","Integration Tests","Participation Service","Eventity.Tests.Integration.ParticipationServiceIntegrationTests","Eventity.Tests.Integration.ParticipationServiceIntegrationTests.AddParticipation_ShouldCreateParticipationAndNotification","Eventity.Tests.Integration.ParticipationServiceIntegrationTests.AddParticipation_ShouldCreateParticipationAndNotification",""
